,ATM,ALT,OI1356,OI1304
260,2.74,110000000.0,1.9917981767761345e-06,9.25168629952398e-07
261,2.74,112000000.0,3.1374450465876587e-06,1.444158282438194e-06
262,2.74,114000000.0,3.364145930012705e-06,1.5476266497473308e-06
263,2.74,116000000.0,7.847785624432132e-06,3.594001025423401e-06
264,2.74,118000000.0,8.18783694956888e-06,3.7492035763866933e-06
265,2.74,120000000.0,1.5366599374111736e-05,7.024804906179417e-06
266,2.74,122000000.0,4.2330776939145055e-06,1.9434545265107326e-06
267,2.74,124000000.0,4.157535453755325e-06,1.909189312825136e-06
268,2.74,126000000.0,5.290979834208091e-06,2.425986561451913e-06
269,2.74,128000000.0,3.5403452344214724e-06,1.6269808361180916e-06
270,2.74,130000000.0,3.855271140755173e-06,1.771263524328555e-06
271,2.74,132000000.0,3.968621582467483e-06,1.8229977079830163e-06
272,2.74,134000000.0,4.409432387363331e-06,2.0242182345566674e-06
273,2.74,136000000.0,1.8527219495127723e-06,8.570687043444103e-07
274,2.74,138000000.0,2.192614354042497e-06,1.0108296990500645e-06
275,2.74,140000000.0,1.9910353578518393e-06,9.182491599104483e-07
276,2.74,142000000.0,2.0162243448988337e-06,9.297456451669027e-07
277,2.74,144000000.0,1.1018958992049096e-06,5.12711541604429e-07
278,2.74,146000000.0,6.510130310589815e-07,3.069244555115358e-07
279,2.74,148000000.0,1.0453195622822178e-06,4.877414181153878e-07
280,2.74,150000000.0,1.1347793135595611e-06,5.289063211948438e-07
281,2.74,152000000.0,9.321456990227853e-07,4.3760896363639714e-07
282,2.74,154000000.0,9.334086799440985e-07,4.382158224826826e-07
283,2.74,156000000.0,1.0165323371998943e-06,4.7615422382933875e-07
284,2.74,158000000.0,1.298490071520806e-06,6.034733024447843e-07
285,2.74,160000000.0,1.3740570326623907e-06,6.379627582144475e-07
286,2.74,162000000.0,1.4369306163464547e-06,6.658070030174146e-07
287,2.74,164000000.0,1.259291752558294e-06,5.842442286222983e-07
288,2.74,166000000.0,1.4493873786762093e-06,6.703058968885261e-07
289,2.74,168000000.0,2.6206576185268773e-06,1.2047322884014526e-06
290,2.74,170000000.0,1.5375311754959359e-06,7.103834223688356e-07
291,2.74,172000000.0,5.351260327955232e-07,2.53880450413306e-07
292,2.74,174000000.0,4.406673313683815e-07,2.1076863070114723e-07
293,2.74,176000000.0,4.2818584805487423e-07,2.060454947452958e-07
294,2.74,178000000.0,4.34553726197973e-07,2.095603077296975e-07
295,2.74,180000000.0,4.976462671642464e-07,2.393906967105685e-07
296,2.74,182000000.0,4.166812885682658e-07,1.9933441637109144e-07
297,2.74,184000000.0,4.3935137691072224e-07,2.096812531019811e-07
298,2.74,186000000.0,3.9252573045305024e-07,1.8636254203241425e-07
299,2.74,188000000.0,7.917711751513007e-07,3.685818333489059e-07
300,2.74,190000000.0,8.83696851597309e-07,4.104158662012801e-07
