altitude,H2O,O2,H2,H2O,O2,H2
m,m-3,m-3,m-3,m-3,m-3,m-3
,noon,noon,noon,midnight,midnight,midnight
3261598.805,12745859,30458,6153357300,6943084,0,3414636200
3281171.453,12745859,19013,5881066900,6943084,0,3327680700
3301554.211,12026770,18961,5597508000,7155598,0,3237126700
3321903.323,13065892,19191,5617654800,6969503,0,3178885700
3343935.644,14756633,19325,5710275800,6666711,0,3123336700
3364050.236,16592344,19278,5794833900,6530118,0,3072623400
3381962.848,16592344,19236,5855223000,6530118,0,3027324900
3401545.359,16941304,19192,5763854500,7937121,0,2976357500
3422084.991,16941304,19147,5668019600,7937121,0,2922898800
3441462.345,30516316,19109,5577608700,9988089,0,2872465700
3461821.937,22441454,19070,5562312700,9331462,0,2822211700
3481450.739,8356980,19030,5714289200,8186150,0,2779486000
3501895.533,11229203,18989,5872583700,10676948,0,2734984300
3521765.966,11229203,18950,6026432100,10676948,0,2691732400
3541738.828,10316271,18911,5964414700,14176474,0,2647350900
3561499.099,10316271,18874,5735925400,14176474,0,2602741800
3581740.58,8153004,18836,5501871400,23644058,0,2557046300
3601685.803,8266387,18771,5271243000,19868917,0,2512019600
3621984.61,8489303,18736,5108131200,12446842,0,2479626400
3641478.366,9936946,18702,4968090300,6278144,0,2451632200
3661547.42,9936946,18679,4823915200,6278144,0,2422811500
3681747.368,13537323,18658,4680011400,6234284,0,2395270400
3701841.121,13537323,18626,4560042000,6234284,0,2396003400
3723995.763,8084409,18590,4427767400,6642530,0,2396811600
3743823.454,8082842,18561,4309386200,6718568,0,2397534900
3761866.334,8082360,295310,4235272100,6741966,0,2387907500
3781823.749,8082505,549876,4227948000,6363746,0,2354411800
3801592.121,8082505,555535,4220693400,6363746,0,2321233700
3821685.238,8073206,561619,4213319500,5849974,0,2287510100
3843862.688,8073206,568817,4185725000,5849974,0,2257227200
3864123.801,8991107,575750,4147677400,6262256,0,2234139700
3881593.905,8886176,564397,4114870500,6563888,0,2214232300
3901541.925,8661964,572175,4077410600,7208405,0,2191501500
3921414.705,7973811,580417,4098010300,7323105,0,2152666600
3941757.569,7973811,589431,4136757700,7323105,0,2107976600
3961377.232,8036506,598818,4174127900,7735978,0,2064874900
3981530.51,8036506,609070,4208424100,7735978,0,2020947200
4003881.859,8419080,621498,3956093500,7607909,0,1996796700
4024686.987,6835736,632383,3721216200,9817935,0,1974316700
4041594.055,6729999,643398,3530347500,9965521,0,1956048700
4061174.895,6633753,657096,3361453500,7083021,0,1943975100
4082393.882,6633753,673311,3350720100,7083021,0,1960894200
