,ATM,ALT,OI1356,OI1304
103,1.0,206147484.1,3.747305869661848e-09,8.358919685063763e-09
104,1.0,208137081.89999998,3.698588394769609e-09,8.157241508600103e-09
105,1.0,210164584.9,3.6308386129139067e-09,7.825529009108478e-09
106,1.0,212162176.89999998,3.6036685212285603e-09,7.813128329482318e-09
107,1.0,214148989.2,3.6662585703568537e-09,8.581713013598345e-09
108,1.0,216167679.40000004,3.6395481317198128e-09,8.569522123849127e-09
109,1.0,218176088.6,3.6171698598604427e-09,8.591599174184882e-09
110,1.0,220148085.2,3.5373864218409683e-09,8.311770783866937e-09
111,1.0,222130978.8,5.7395514526681775e-09,8.738344224438524e-09
112,1.0,224183452.79999998,5.868365693169621e-09,7.781644235500672e-09
113,1.0,226146197.5,5.893894823472516e-09,7.793295965266141e-09
114,1.0,228193792.0,5.8983486998757885e-09,7.109866024636663e-09
115,1.0,230117056.99999997,5.877089746391652e-09,7.100163242828002e-09
116,1.0,232061601.4,5.863082609847549e-09,6.998685190834778e-09
117,1.0,234149276.89999998,5.866317087750418e-09,7.040616687144869e-09
118,1.0,236220102.6,6.7423581216286605e-09,7.535500252832434e-09
119,1.0,238091854.99999997,7.808650883132916e-09,8.13793708201593e-09
120,1.0,240146876.20000002,7.82828266482605e-09,8.146897207660209e-09
121,1.0,242170178.29999998,7.849041293934575e-09,8.153130702020396e-09
122,1.0,244126777.40000004,7.875227728096549e-09,8.165082431309897e-09
123,1.0,246111343.89999998,6.9219011524579786e-09,7.894764160047704e-09
124,1.0,248142349.89999998,5.554255287458041e-09,7.2434446572254435e-09
125,1.0,250130473.3,5.604925759060673e-09,7.198450041468888e-09
126,1.0,252124174.00000003,5.702679344404798e-09,7.508555522951076e-09
127,1.0,254133761.6,5.771494002266636e-09,7.539963165428363e-09
128,1.0,256125295.7,3.949786242416315e-09,8.504143819627382e-09
129,1.0,258218239.7,4.00192009115514e-09,8.52793818747037e-09
130,1.0,260158885.3,3.983312543000175e-09,6.5253801533798394e-09
131,1.0,262097963.1,4.219697710377414e-09,6.612672928408955e-09
132,1.0,264159806.9,1.7508309609452404e-09,5.4013487179846405e-09
133,1.0,266155991.8,1.507954138484559e-09,5.644803809774061e-09
134,1.0,268194984.6,1.667872030520573e-09,5.717791805861648e-09
135,1.0,270101799.59999996,1.0899124026724075e-09,5.926822602934308e-09
136,1.0,272090254.3,1.0899124026724075e-09,5.926822602934308e-09
137,1.0,274074163.7,9.145882567730118e-10,4.336471150284785e-09
