,UTC,ALT,H2P,H3P,O2P,E
513,165400,2060.0,5.647158504306132,3.772059751889444,4.8111410756648345,10.0
514,165400,2080.0,5.656742528427754,3.7925050732515238,4.810823517893333,10.0
515,165400,2100.0,5.66609255272709,3.8125976432338544,4.810516081521911,10.0
516,165400,2120.0,5.675202671900481,3.8323182565818072,4.810158889172741,10.0
517,165400,2140.0,5.684066662754794,3.8516468417876446,4.80981410253176,10.0
518,165400,2160.0,5.692718296395236,3.8705839989924677,4.809479761549091,10.0
519,165400,2180.0,5.701131130001581,3.8891314897172853,4.80909725592032,10.0
520,165400,2200.0,5.709338811044495,3.907290531696966,4.808709525760996,10.0
521,165400,2220.0,5.717333880189546,3.925071526188833,4.808358928670607,10.0
522,165400,2240.0,5.7250994276932134,3.942464312925667,4.808062353735391,10.0
523,165400,2260.0,5.732688293401134,3.9594808061609332,4.807765311900347,10.0
524,165400,2280.0,5.740083049598239,3.976143228591243,4.807478988043727,10.0
525,165400,2300.0,5.747325454097242,3.992473275315932,4.807192489515929,10.0
526,165400,2320.0,5.7543782015721225,4.008482592391987,4.806881464735849,10.0
527,165400,2340.0,5.761215064859789,4.024141023427453,4.806579181504099,10.0
528,165400,2360.0,5.767839516433554,4.039418504376739,4.8062830196127075,10.0
529,165400,2380.0,5.774302820978857,4.054326599262927,4.80599772313065,10.0
530,165400,2400.0,5.780567861456373,4.068876297134322,4.805718279954004,10.0
531,165400,2420.0,5.786704549873987,4.083089470808561,4.805446141117711,10.0
532,165400,2440.0,5.792722693728236,4.097017889043621,4.805181241398632,10.0
533,165400,2460.0,5.798584732424377,4.110672363694352,4.80492385135795,10.0
534,165400,2480.0,5.8043023571472405,4.124043290691545,4.804697637910855,10.0
535,165400,2500.0,5.809971856591136,4.13718233880276,4.804485127655944,10.0
536,165400,2520.0,5.815544192794484,4.150141056783516,4.804279261940772,10.0
537,165400,2540.0,5.821001717483899,4.162910111434805,4.804080420824171,10.0
538,165400,2560.0,5.826318138492557,4.175459786925698,4.803882025910562,10.0
539,165400,2580.0,5.831384172114215,4.187699759176639,4.803685161447147,10.0
540,165400,2600.0,5.8362904054237505,4.199571284563289,4.803500585364107,10.0
541,165400,2620.0,5.841028559264294,4.211084772278026,4.803332411582224,10.0
542,165400,2640.0,5.845693481957428,4.222293431281624,4.80312291401842,10.0
543,165400,2660.0,5.8503107655135755,4.233287946460286,4.802918152216688,10.0
544,165400,2680.0,5.8548226686660705,4.244097832062639,4.802719546555224,10.0
545,165400,2700.0,5.8592584839462205,4.254723647970913,4.802532113632992,10.0
546,165400,2720.0,5.863627705983516,4.2651864410049845,4.8023352207765075,10.0
547,165400,2740.0,5.867939690750269,4.27550697989208,4.802142390939361,10.0
548,165400,2760.0,5.872166744344917,4.285685260605982,4.801953147778293,10.0
549,165400,2780.0,5.876319449540292,4.295711917651112,4.801767042761302,10.0
550,165400,2800.0,5.8803439099976025,4.3055574612706495,4.8015851349454,10.0
551,165400,2820.0,5.884252515887036,4.31518286371594,4.801407073857148,10.0
552,165400,2840.0,5.888056030932088,4.324578844659066,4.80123656379741,10.0
553,165400,2860.0,5.89179151427364,4.3337660113937835,4.801070129882262,10.0
554,165400,2880.0,5.8955302337970785,4.342813804086352,4.800929901296015,10.0
555,165400,2900.0,5.899205205499992,4.35176138122194,4.8008005006447405,10.0
556,165400,2920.0,5.90284491884083,4.360609636512183,4.800687422643766,10.0
557,165400,2940.0,5.90640433661121,4.369349743649177,4.800557755326004,10.0
558,165400,2960.0,5.909867884751738,4.377943015011234,4.800435938788728,10.0
559,165400,2980.0,5.9132557341395104,4.386369931983197,4.800318862192076,10.0
560,165400,3000.0,5.916568413521403,4.3946305753107096,4.800214848556947,10.0
561,165400,3020.0,5.919824076531226,4.402734953713643,4.800124125935979,10.0
